"merge_id","hid.x","pid.x","gender","age","married","ethnicity","born_outside_accra","hid.y","pid.y","highest_education","hid","pid","seen_nih_card","nih"
"70213/15.5","70213/15",5,"Female",13,"Never married","Ga",FALSE,"70213/15",5,"JSS/JHS","70213/15",5,"Yes, card not seen",FALSE
"70214/01.1","70214/01",1,"Female",60,"Widowed","Fante",TRUE,"70214/01",1,"Middle","70214/01",1,NA,NA
"70214/01.2","70214/01",2,"Female",25,"Never married","Fante",FALSE,"70214/01",2,"Teacher Training/Agric/ Nursing Cert","70214/01",2,NA,NA
"70214/02.1","70214/02",1,"Female",50,"Widowed","Ga",FALSE,"70214/02",1,"Middle","70214/02",1,"Yes, card seen",TRUE
"70214/02.2","70214/02",2,"Female",20,"Never married","Ga",FALSE,"70214/02",2,"SSS/SHS","70214/02",2,"Yes, card seen",TRUE
"70214/03.1","70214/03",1,"Female",45,"Widowed","Fante",FALSE,"70214/03",1,"JSS/JHS","70214/03",1,NA,NA
"70214/03.2","70214/03",2,"Female",24,"Consensual Union","Ga",FALSE,"70214/03",2,"JSS/JHS","70214/03",2,NA,NA
"70214/03.3","70214/03",3,"Male",19,"Never married","Ga",FALSE,"70214/03",3,"JSS/JHS","70214/03",3,NA,NA
"70214/03.4","70214/03",4,"Female",15,"Never married","Ga",FALSE,"70214/03",4,"JSS/JHS","70214/03",4,NA,NA
"70214/03.5","70214/03",5,"Female",5,NA,"Ewe",FALSE,"70214/03",5,"Kindergarten","70214/03",5,"Yes, card seen",TRUE
"70214/04.1","70214/04",1,"Male",39,"Separated","Kwahu",TRUE,"70214/04",1,"SSS/SHS","70214/04",1,NA,NA
"70214/05.1","70214/05",1,"Female",77,"Widowed","Dangme (Ada, Shai, Krobo, Osudoku,Ningo)",FALSE,"70214/05",1,"Middle","70214/05",1,"Yes, card seen",TRUE
"70214/05.2","70214/05",2,"Female",29,"Never married","Ga",FALSE,"70214/05",2,"JSS/JHS","70214/05",2,"Yes, card seen",TRUE
"70214/06.1","70214/06",1,"Female",67,"Widowed","Fante",FALSE,"70214/06",1,"Middle","70214/06",1,NA,NA
"70214/06.2","70214/06",2,"Male",6,NA,"Ga",FALSE,"70214/06",2,"Primary","70214/06",2,"Yes, card not seen",FALSE
"70214/08.1","70214/08",1,"Female",69,"Widowed","Ga",FALSE,"70214/08",1,"Middle","70214/08",1,NA,NA
"70214/08.2","70214/08",2,"Female",22,"Never married","Asante",TRUE,"70214/08",2,"SSS/SHS","70214/08",2,NA,NA
"70214/09.1","70214/09",1,"Male",36,"Consensual Union","Kwahu",TRUE,"70214/09",1,"JSS/JHS","70214/09",1,NA,NA
"70214/09.2","70214/09",2,"Female",32,"Consensual Union","Asen (Assin)",TRUE,"70214/09",2,"JSS/JHS","70214/09",2,NA,NA
"70214/09.3","70214/09",3,"Male",5,NA,"Kwahu",FALSE,"70214/09",3,"None","70214/09",3,"Yes, card seen",TRUE
"70214/10.1","70214/10",1,"Female",52,"Never married","Kwahu",TRUE,"70214/10",1,"Voc/Tech/Comm","70214/10",1,NA,NA
"70214/10.2","70214/10",2,"Male",31,"Never married","Kwahu",TRUE,"70214/10",2,"JSS/JHS","70214/10",2,NA,NA
"70214/10.3","70214/10",3,"Male",28,"Never married","Kwahu",TRUE,"70214/10",3,"JSS/JHS","70214/10",3,NA,NA
"70214/11.1","70214/11",1,"Female",53,"Married","Ga",FALSE,"70214/11",1,"Voc/Tech/Comm","70214/11",1,NA,NA
"70214/11.2","70214/11",2,"Female",20,"Never married","Ewe",FALSE,"70214/11",2,"Teacher Training/Agric/ Nursing Cert","70214/11",2,NA,NA
"70214/11.3","70214/11",3,"Female",17,"Never married","Ewe",TRUE,"70214/11",3,"JSS/JHS","70214/11",3,"Yes, card seen",TRUE
"70214/11.4","70214/11",4,"Female",14,"Never married","Ewe",TRUE,"70214/11",4,"JSS/JHS","70214/11",4,"Yes, card seen",TRUE
"70214/12.1","70214/12",1,"Male",49,"Separated","Ga",FALSE,"70214/12",1,"Primary","70214/12",1,NA,NA
"70214/13.1","70214/13",1,"Female",44,"Separated","Fante",TRUE,"70214/13",1,"Voc/Tech/Comm","70214/13",1,NA,NA
"70214/13.2","70214/13",2,"Male",22,"Never married","Fante",FALSE,"70214/13",2,"University (Bachelor)","70214/13",2,NA,NA
"70214/13.3","70214/13",3,"Male",20,"Never married","Fante",FALSE,"70214/13",3,"SSS/SHS","70214/13",3,NA,NA
"70214/14.1","70214/14",1,"Male",33,"Never married","Ewe",TRUE,"70214/14",1,"Teacher Training/Agric/ Nursing Cert","70214/14",1,"Yes, card seen",TRUE
"70214/15.1","70214/15",1,"Male",68,"Married","Ga",FALSE,"70214/15",1,"Middle","70214/15",1,"Yes, card seen",TRUE
"70214/15.2","70214/15",2,"Female",61,"Married","Nzema",TRUE,"70214/15",2,"Primary","70214/15",2,"Yes, card seen",TRUE
"70215/01.1","70215/01",1,"Male",39,"Consensual Union","Fante",TRUE,"70215/01",1,"JSS/JHS","70215/01",1,NA,NA
"70215/01.2","70215/01",2,"Female",32,"Consensual Union","Ga",FALSE,"70215/01",2,"JSS/JHS","70215/01",2,NA,NA
"70215/01.3","70215/01",3,"Female",13,"Never married","Fante",FALSE,"70215/01",3,"JSS/JHS","70215/01",3,NA,NA
"70215/01.4","70215/01",4,"Male",12,"Never married","Fante",FALSE,"70215/01",4,"Primary","70215/01",4,NA,NA
"70215/01.5","70215/01",5,"Male",10,NA,"Fante",FALSE,"70215/01",5,"Primary","70215/01",5,NA,NA
"70215/01.6","70215/01",6,"Male",3,NA,"Fante",FALSE,"70215/01",6,"Kindergarten","70215/01",6,NA,NA
"70215/02.1","70215/02",1,"Male",31,"Never married","Denkyira / Twifo",FALSE,"70215/02",1,"JSS/JHS","70215/02",1,"Yes, card seen but expired",FALSE
"70215/03.1","70215/03",1,"Male",26,"Never married","Ga",FALSE,"70215/03",1,"Polytechnic","70215/03",1,NA,NA
"70215/04.1","70215/04",1,"Female",33,"Consensual Union","Ewe",TRUE,"70215/04",1,NA,"70215/04",1,"Yes, card not seen",FALSE
"70215/04.2","70215/04",2,"Male",16,"Never married","Ewe",TRUE,"70215/04",2,"JSS/JHS","70215/04",2,"Yes, card not seen",FALSE
