"REGION","AGE","SEX","ETHNICITY","EDLEVEL","EDGRADE","WORKED"
3,30,2,22,4,0,1
3,34,1,22,4,1,1
3,32,2,22,6,3,1
3,28,2,22,6,3,1
3,40,2,22,5,4,1
3,41,2,97,5,2,1
3,20,1,22,4,3,1
3,27,2,22,4,1,1
3,60,1,22,7,2,1
3,54,2,22,7,2,1
3,28,2,22,4,3,1
3,25,1,22,4,3,1
3,23,2,22,4,1,2
3,34,1,22,4,2,1
3,22,2,22,4,2,1
3,60,1,22,NA,NA,1
3,23,2,22,4,3,1
3,35,1,4,4,3,2
3,25,2,4,4,3,2
3,19,2,4,4,3,2
3,45,2,14,5,1,2
3,20,2,14,4,3,2
3,67,1,22,5,4,2
3,94,2,22,5,1,2
3,52,1,22,7,3,2
3,53,1,30,5,4,1
3,45,2,30,5,4,2
3,22,1,30,7,3,2
3,30,1,30,3,6,2
3,48,1,22,5,4,1
3,39,2,22,5,2,1
3,21,2,22,4,3,2
3,28,1,6,11,4,2
3,32,1,63,5,4,1
3,32,1,22,NA,NA,1
3,35,2,22,NA,NA,1
3,32,1,22,3,2,1
3,22,2,22,6,3,1
3,64,1,22,3,4,1
3,28,2,22,3,4,2
3,44,1,30,5,4,1
3,44,2,30,5,4,1
3,22,2,30,7,3,2
3,27,1,61,6,3,1
3,20,1,14,4,3,1
3,33,1,8,6,3,1
3,31,2,8,6,3,2
3,30,1,14,4,3,1
3,30,2,14,4,3,1
3,26,1,10,6,3,1
3,58,1,16,11,3,1
3,44,2,8,12,2,1
3,31,1,16,10,3,1
3,29,1,8,6,3,1
3,27,2,30,4,3,1
3,22,1,22,4,3,2
3,27,1,11,6,3,1
3,26,2,17,4,3,1
3,27,1,14,4,3,1
3,21,2,8,4,3,1
3,33,1,14,4,3,1
3,27,2,21,4,3,1
3,39,1,22,5,3,2
3,35,2,22,NA,NA,1
3,21,2,14,4,3,2
3,48,1,8,5,4,1
3,36,2,14,5,4,1
3,37,1,22,NA,NA,1
3,42,2,22,NA,NA,1
3,26,1,22,3,5,1
3,20,2,30,3,4,1
3,28,2,30,4,3,2
3,38,1,30,5,4,1
